t,eval_success,eval_loss
1,87.8,0.36560712158679964
2,91.0,0.3289941716194153
3,89.60000000000001,0.3264744311571121
4,91.8,0.3227580836415291
5,87.6,0.36408255755901336
6,91.0,0.32759168356657026
7,90.2,0.34088200718164446
8,88.6,0.34778787434101105
9,91.60000000000001,0.3281772869080305
10,91.0,0.3281375685334206
11,91.0,0.3162327605485916
12,88.0,0.35766552776098254
13,93.2,0.30027386665344236
14,89.8,0.3368278446793556
15,91.2,0.3399796073138714
16,91.2,0.33216614156961444
17,89.4,0.3352454313635826
18,90.4,0.34058361560106276
19,90.60000000000001,0.31199798479676244
20,92.80000000000001,0.27848283320665357
21,91.4,0.3053372520208359
22,88.0,0.3533972728252411
23,91.2,0.32324951261281964
24,87.6,0.35971669763326647
25,89.8,0.3384947693347931
26,93.4,0.30435659497976303
27,91.0,0.3326353706419468
28,90.8,0.32956054747104646
29,90.0,0.3464601181447506
30,88.4,0.3275613358616829
31,88.6,0.3390701034665108
32,91.2,0.3242481127381325
33,91.4,0.3355447044968605
34,91.0,0.3210975244641304
35,90.2,0.3065728980302811
36,89.0,0.3203956669569015
37,89.60000000000001,0.3361246904730797
38,91.60000000000001,0.3386430758237839
39,92.2,0.343589693903923
40,89.8,0.3296396717429161
41,93.2,0.31134057030081747
42,88.8,0.34875560462474825
43,88.8,0.3444973023235798
44,91.0,0.33163892954587937
45,91.8,0.31687709301710126
46,87.0,0.3407045975327492
47,88.2,0.3444361028075218
48,89.8,0.3456502729654312
49,93.2,0.29569611221551895
50,93.0,0.312578339278698
