t,eval_success,eval_loss
1,62.0,1.0481957793235779
2,59.4,1.04956640958786
3,60.199999999999996,1.11316654920578
4,58.199999999999996,1.0984946668148041
5,61.8,1.041430870294571
6,58.4,1.0092170190811158
7,63.2,1.0366979730129242
8,57.199999999999996,1.0668127989768983
9,61.8,1.0664480900764466
10,72.39999999999999,0.9510006999969483
11,82.39999999999999,0.7856224793195724
12,85.39999999999999,0.7496208363771438
13,81.8,0.8116911268234253
14,80.4,0.9885857605934143
15,60.0,1.2033720564842225
16,52.0,1.4701593732833862
17,38.2,1.3315700554847718
18,50.4,1.4939134693145752
19,49.0,1.4571534872055054
20,48.8,1.5121345233917236
21,39.800000000000004,1.2960144472122193
22,49.0,1.4519999384880067
23,47.4,1.5279415798187257
24,38.6,1.289239993095398
25,35.4,1.3096222352981568
26,50.6,1.5045889043807983
27,39.4,1.325284082889557
28,47.4,1.511968607902527
29,49.2,1.49772700548172
30,51.2,1.6602144646644592
31,39.0,1.3131090807914734
32,35.199999999999996,1.3189160537719726
33,46.800000000000004,1.49750084400177
34,50.0,1.6838507437705994
35,51.4,1.503277781009674
36,48.4,1.488721034526825
37,47.4,1.48523868560791
38,49.6,1.4952094054222107
39,49.6,1.4955086517333984
40,50.2,1.5001161336898803
41,49.0,1.747525417804718
42,46.2,1.4257025337219238
43,48.6,1.4591083860397338
44,37.0,1.3036641001701355
45,52.400000000000006,1.500971918106079
46,47.8,1.480247666835785
47,50.0,1.4894283866882325
48,49.8,1.2854979133605957
49,41.0,1.3261462044715882
50,53.0,1.5848575162887573
