t,eval_success,eval_loss
1,58.199999999999996,1.2275304365158082
2,52.800000000000004,1.2488364231586457
3,56.599999999999994,1.197671058177948
4,60.0,1.195828939676285
5,55.60000000000001,1.2068422961235046
6,51.800000000000004,1.23442027926445
7,51.0,1.261284122467041
8,62.8,1.1966710805892944
9,56.99999999999999,1.2062071764469147
10,45.6,1.2471924424171448
11,45.800000000000004,1.2280398774147034
12,47.4,1.236055772304535
13,52.2,1.1883239674568176
14,56.599999999999994,1.1864778995513916
15,59.4,1.2042379236221314
16,54.800000000000004,1.212366713285446
17,55.00000000000001,1.2195310008525848
18,54.0,1.2078662347793578
19,49.4,1.2628947591781616
20,56.2,1.2146615850925446
21,53.0,1.2190010344982147
22,55.800000000000004,1.2226552045345307
23,57.8,1.201155445575714
24,56.8,1.2148277735710145
25,55.400000000000006,1.224139654636383
26,53.0,1.2526178634166718
27,54.800000000000004,1.2370422601699829
28,53.800000000000004,1.2497991561889648
29,53.800000000000004,1.2344429624080657
30,58.599999999999994,1.2332052862644196
31,53.6,1.2236724424362182
32,55.60000000000001,1.225663229227066
33,54.0,1.2303629672527314
34,50.6,1.2567711544036866
35,54.400000000000006,1.2653548192977906
36,58.8,1.1969272625446319
37,53.6,1.2497355163097381
38,54.400000000000006,1.232699511051178
39,52.800000000000004,1.256183203458786
40,53.400000000000006,1.1986550724506377
41,57.199999999999996,1.224191061258316
42,55.2,1.2174488604068756
43,63.800000000000004,1.199330985546112
44,53.800000000000004,1.2226269841194153
45,53.400000000000006,1.2418094873428345
46,52.400000000000006,1.2626708948612213
47,54.800000000000004,1.2167944967746736
48,55.60000000000001,1.1969982838630677
49,54.2,1.2293745410442352
50,55.800000000000004,1.2125450432300569
