t,eval_success,eval_loss
1,72.2,1.2542269051074981
2,71.2,1.2642173433303834
3,69.0,1.2706479454040527
4,72.39999999999999,1.2469287729263305
5,67.60000000000001,1.2761105680465699
6,67.60000000000001,1.2616555857658387
7,63.4,1.2977179419994354
8,70.6,1.2598499858379364
9,69.8,1.2480926597118378
10,63.800000000000004,1.1803763496875763
11,74.2,1.1106772685050965
12,74.0,1.0993042147159577
13,76.6,1.031797536611557
14,82.6,1.0401561391353606
15,73.2,1.1569516563415527
16,70.39999999999999,1.2603601622581482
17,67.60000000000001,1.26991233587265
18,71.6,1.2968080401420594
19,66.4,1.2707678008079528
20,64.0,1.3023043596744537
21,67.2,1.2423432278633117
22,70.6,1.2497287273406983
23,69.6,1.2769456720352172
24,69.8,1.258968939781189
25,67.80000000000001,1.2641078734397888
26,65.0,1.2768381226062775
27,66.2,1.280253872871399
28,64.60000000000001,1.2691697514057159
29,68.4,1.319502034187317
30,66.4,1.2886418056488038
31,66.60000000000001,1.2582673144340515
32,65.0,1.256111592054367
33,64.4,1.2920687985420227
34,70.19999999999999,1.2849126482009887
35,65.8,1.26734166264534
36,69.8,1.264615638256073
37,73.4,1.2799445915222167
38,68.4,1.291696331501007
39,74.0,1.2895780467987061
40,69.0,1.264861513376236
41,69.8,1.279066435098648
42,71.39999999999999,1.2215699708461762
43,71.8,1.2475061154365539
44,69.0,1.2403940725326539
45,73.4,1.2901708221435546
46,66.8,1.245440559387207
47,75.4,1.2687065720558166
48,67.2,1.2492523622512817
49,69.19999999999999,1.2808501315116883
50,75.4,1.189783970117569
