t,eval_success,eval_loss
1,63.2,2.137332122325897
2,45.0,2.005756669044495
3,62.6,2.1244551020860674
4,54.6,1.5393984758853911
5,57.4,1.3370395362377168
6,66.4,2.027364407777786
7,55.00000000000001,1.0544957196712494
8,62.0,1.7457517778873444
9,56.99999999999999,1.111277487874031
10,72.0,0.8719654154777526
11,61.4,0.9787192928791046
12,76.0,0.7190546905994415
13,75.8,0.7188396102190018
14,51.6,0.8287436521053314
15,50.2,0.9642488735914231
16,64.2,0.9832947874069213
17,52.0,1.1048153376579284
18,42.8,1.8204891788959503
19,65.0,1.486609696149826
20,48.8,1.060380380153656
21,57.99999999999999,1.4377288627624512
22,57.599999999999994,1.3640992522239686
23,56.599999999999994,1.4869034379720687
24,54.2,1.4609415870904923
25,66.0,2.2273430395126343
26,47.0,1.5949886202812196
27,52.6,1.1833334541320801
28,57.8,1.1827391374111176
29,63.800000000000004,1.9675735247135162
30,58.8,1.229298380613327
31,54.6,1.131593150496483
32,64.2,2.0336516177654267
33,46.0,1.4508732438087464
34,65.4,1.718189309835434
35,57.4,1.4059461444616317
36,56.99999999999999,1.3022404778003693
37,57.99999999999999,1.2798721849918366
38,51.800000000000004,1.2099339878559112
39,56.00000000000001,1.1742919051647187
40,58.599999999999994,1.2895944488048554
41,53.6,1.418213704228401
42,38.0,1.0497289860248566
43,62.2,2.1039222288131714
44,50.0,1.1937883388996124
45,60.199999999999996,1.339524859189987
46,54.6,1.529991946220398
47,66.0,1.5759530645608901
48,57.199999999999996,1.2546926438808441
49,52.2,1.812215611934662
50,67.0,0.9390560853481292
