t,eval_success,eval_loss
1,27.0,1.3256652235984803
2,24.2,1.3762798738479614
3,29.4,1.3353155994415282
4,32.6,1.3081532621383667
5,28.199999999999996,1.3444841647148131
6,26.6,1.388043351173401
7,27.0,1.3852091753482818
8,26.6,1.3824349308013917
9,30.8,1.328430790901184
10,16.0,1.4300230240821838
11,10.8,1.4247259831428527
12,9.0,1.4101727175712586
13,12.8,1.3736858201026916
14,14.6,1.3733592963218688
15,21.2,1.3902469658851624
16,20.4,1.4295240759849548
17,26.400000000000002,1.3881062614917754
18,30.2,1.3669221329689025
19,25.4,1.3930018663406372
20,22.400000000000002,1.4356787371635438
21,30.2,1.39615704536438
22,34.2,1.3004465460777284
23,31.8,1.3233138036727905
24,28.4,1.318437294960022
25,29.4,1.313899939060211
26,26.8,1.3442173027992248
27,25.0,1.3629562854766846
28,25.8,1.3818489289283753
29,31.8,1.360162582397461
30,27.800000000000004,1.328182382583618
31,26.400000000000002,1.352230851650238
32,25.4,1.3799694752693177
33,25.2,1.3718391633033753
34,22.6,1.4078328609466553
35,25.8,1.4048514485359191
36,30.2,1.3382237315177918
37,27.0,1.3979051637649536
38,28.199999999999996,1.3879601502418517
39,26.8,1.4327282476425172
40,23.200000000000003,1.4069762587547303
41,28.799999999999997,1.3439843893051147
42,30.2,1.3592941999435424
43,32.6,1.3174273085594177
44,24.6,1.3499067616462708
45,22.8,1.4101760816574096
46,24.4,1.3758805680274964
47,26.0,1.3833457708358765
48,28.999999999999996,1.3536670303344727
49,26.400000000000002,1.371388328075409
50,20.0,1.4166698861122131
