t,i,eval_success,eval_loss,drift,delayed
0,4,73.0,1.053224269747734,,false
0,7,76.2,1.0890554970502853,,false
0,2,33.0,1.7690776836872102,,false
0,6,73.6,0.9691371917724609,,true
0,5,73.6,0.9600693288445473,,false
0,3,33.0,1.364492290019989,,true
0,9,75.4,1.2036453661322595,,false
0,0,69.6,1.269662778675556,,true
1,5,74.6,0.9772892069816589,,false
1,3,33.8,1.3426378822326661,u,true
1,1,49.8,2.8950935888290403,,false
1,7,77.6,1.2755434414744378,,false
1,4,79.2,1.086168954372406,,false
1,9,79.4,1.011236082315445,,false
1,2,33.8,1.7618848443031312,,false
1,6,79.4,1.147469233572483,,true
2,3,33.8,1.3516122150421142,,true
2,6,77.2,1.2225113967061043,,true
2,7,77.6,1.08650426954031,,false
2,5,77.2,1.0269702127575875,,false
2,8,77.8,1.0834039485454559,,false
2,2,34.8,1.8350804269313812,,false
2,4,77.8,1.2409248387813567,,false
2,9,77.2,1.1763379627466202,,false
3,6,75.8,0.9840987101197243,,true
3,3,33.4,1.353146481513977,u,true
3,7,75.6,1.0522564175724982,,false
3,9,76.8,1.0723272755742073,,false
3,8,76.2,1.2367746743559838,,false
3,0,71.6,1.063328195810318,,true
3,4,75.6,1.0335116693377495,,false
3,2,33.8,1.8966420459747315,,false
4,7,76.4,1.006199358701706,,false
4,6,75.6,1.2716951236128806,,true
4,2,35.4,1.7200258004665374,,false
4,1,53.2,2.875993254184723,,false
4,8,77.2,1.0594650810956956,,false
4,4,78.0,1.0565037202835084,,false
4,9,75.6,1.0879504877328872,,false
4,3,33.6,1.351085226535797,u,true
5,1,52.8,2.7449749064445497,,false
5,2,34.2,1.7338764107227325,,false
5,4,76.8,1.1342246982455253,,false
5,3,32.6,1.346646499633789,u,true
5,5,78.8,1.0798065286874772,,false
5,0,74.0,1.0853961688280105,,true
5,8,78.4,1.1370012363791466,,false
5,9,77.6,1.260564916729927,,false
6,2,36.2,1.8371680998802185,,false
6,9,77.8,1.1873825865983962,,false
6,4,76.4,1.299065945893526,,false
6,5,76.8,1.0347177326679229,,false
6,8,77.4,1.160112040936947,,false
6,0,74.0,1.0615076476335525,,true
6,1,49.6,3.00955886721611,,false
6,6,77.0,1.1268856659531594,,true
7,9,75.4,1.0303765165805816,,false
7,2,33.0,1.6957569563388823,cd,false
7,8,77.0,1.2633315327763557,,false
7,3,33.8,1.3655105590820313,,true
7,4,76.8,1.2583517223596572,,false
7,7,75.6,1.024818783402443,,false
7,5,75.4,1.169165726006031,,false
7,0,70.8,1.2957351100444794,,true
8,4,80.6,0.9693878166377544,,false
8,2,28.0,2.084323511123657,,false
8,0,74.8,1.0727648116648196,,true
8,3,32.8,1.389674904346466,u,true
8,7,77.8,1.1689532995224,,false
8,8,78.6,0.9718779848515987,,false
8,1,50.0,2.874280356168747,,false
8,6,78.6,0.9264637988060713,,true
9,8,85.0,0.6860229848325252,,false
9,0,79.4,0.765399229824543,,true
9,4,82.8,0.5573767319321632,,false
9,2,34.0,2.0377189040184023,,false
9,1,53.4,2.4359607273340225,,false
9,5,83.4,0.6408640083670616,,false
9,7,86.8,0.674991079568863,,false
9,9,87.4,0.5901987420022488,,false
10,1,61.6,1.0171901166439057,,false
10,4,90.4,0.3910185803472996,,false
10,2,32.6,2.0324321782588957,,false
10,3,38.6,1.153417057991028,u,true
10,5,90.2,0.3837584511935711,,false
10,0,85.2,0.49395802199840544,,true
10,9,89.6,0.40582814887166024,,false
10,6,91.4,0.3782991483807564,,true
11,1,64.2,0.8209887444972992,,false
11,3,44.2,1.165620882511139,,true
11,0,60.2,1.0119113862514495,,true
11,6,92.0,0.31240907341241836,,true
11,2,31.4,1.762183394432068,,false
11,9,92.2,0.2656049311161041,,false
11,5,92.0,0.27291119113564494,,false
11,4,93.4,0.28203874453902245,,false
12,9,90.6,0.3491505728662014,,false
12,4,91.0,0.3093395929783583,,false
12,1,67.4,0.8759033048152923,,false
12,0,58.0,1.2327159750461578,,true
12,7,91.4,0.30420410245656965,,false
12,3,48.4,0.9344470977783204,,true
12,5,91.2,0.34001198202371596,,false
12,6,87.6,0.3550509998202324,,true
13,9,88.4,0.4858266517519951,,false
13,5,89.0,0.4598585684597492,,false
13,8,87.8,0.475346872061491,,false
13,6,88.8,0.44866588309407235,,true
13,4,89.8,0.4770547485351562,,false
