t,eval_success,eval_loss
1,93.2,0.4785042154788971
2,94.8,0.47247482419013975
3,93.4,0.4504090410470962
4,92.0,0.44715403974056245
5,91.2,0.46955977320671083
6,95.6,0.4466873669624329
7,92.80000000000001,0.4753543299436569
8,91.2,0.47006600558757783
9,96.0,0.44678634762763975
10,96.2,0.4825547742843628
11,94.0,0.467346830368042
12,87.6,0.5089134871959686
13,93.4,0.45362953960895536
14,92.60000000000001,0.47648641765117644
15,95.0,0.43881020188331604
16,95.6,0.4740531754493713
17,96.0,0.45456118702888487
18,90.2,0.48577813923358915
19,93.4,0.47059574723243713
20,93.8,0.4547110015153885
21,93.60000000000001,0.45338783830404283
22,93.2,0.4807908421754837
23,93.60000000000001,0.4565090882778168
24,94.39999999999999,0.4528265166282654
25,95.8,0.4635513401031494
26,93.0,0.4816340917348862
27,93.4,0.4897721445560455
28,95.19999999999999,0.48038979709148405
29,95.0,0.4675385528802872
30,93.2,0.46303981125354765
31,93.0,0.4715260180830956
32,93.0,0.47163504004478457
33,92.0,0.476203231215477
34,92.4,0.4904686760902405
35,94.8,0.4419520831108093
36,95.0,0.4305381751060486
37,92.60000000000001,0.44527807891368865
38,93.2,0.4766479599475861
39,91.8,0.4927191716432571
40,95.8,0.4423747658729553
41,90.8,0.48577193677425384
42,91.8,0.460892009139061
43,92.80000000000001,0.48524986416101457
44,91.0,0.4978498011827469
45,96.2,0.44202265828847886
46,94.19999999999999,0.4448217022418976
47,91.2,0.4837279814481735
48,93.2,0.47357591092586515
49,91.2,0.4957025271654129
50,94.39999999999999,0.4606392949819565
