t,eval_success,eval_loss
1,90.0,0.3747940981388092
2,92.4,0.37203232049942014
3,95.0,0.3152810534834862
4,91.60000000000001,0.3731070402264595
5,92.4,0.37452835112810134
6,90.8,0.3520600411295891
7,92.4,0.3650193837285042
8,91.60000000000001,0.3851200249791145
9,92.2,0.3562814226746559
10,93.8,0.3587423866987228
11,93.60000000000001,0.3269276055693626
12,90.8,0.3535006907582283
13,92.60000000000001,0.33793855339288714
14,93.0,0.35668820947408675
15,94.6,0.3328119131922722
16,91.4,0.3659264728426933
17,93.4,0.3592102646827698
18,91.60000000000001,0.3459572783112526
19,91.2,0.3280767838656902
20,92.60000000000001,0.33472756773233414
21,93.0,0.34157759189605713
22,90.60000000000001,0.3545769599080086
23,90.8,0.3965626794099808
24,91.60000000000001,0.401386379301548
25,91.60000000000001,0.3613209408521652
26,94.0,0.35766861975193026
27,94.6,0.38269580125808716
28,92.0,0.3505965813994408
29,92.0,0.36792613059282303
30,93.4,0.31946863561868666
31,92.60000000000001,0.36341082453727724
32,93.8,0.35657250046730044
33,92.0,0.3867940074205399
34,91.60000000000001,0.36836757957935334
35,93.60000000000001,0.34447118878364563
36,93.4,0.32529547333717346
37,91.8,0.34181496500968933
38,89.4,0.38662153005599975
39,89.8,0.40370244681835177
40,93.2,0.34399465143680574
41,92.4,0.3471077036857605
42,92.0,0.348932668864727
43,91.4,0.35839651703834535
44,88.8,0.4024697831273079
45,89.60000000000001,0.3671898689866066
46,92.4,0.35035292983055116
47,89.60000000000001,0.38123879611492156
48,91.4,0.3618896606564522
49,90.2,0.40818430930376054
50,91.8,0.3645792677998543
