t,eval_success,eval_loss
1,87.8,0.36586791098117827
2,91.0,0.3290441036224365
3,89.60000000000001,0.3266483545303345
4,92.2,0.3223286643624306
5,87.6,0.3636166325211525
6,91.2,0.3284197987616062
7,90.2,0.34093798846006396
8,88.2,0.3480814516544342
9,91.60000000000001,0.32785753592848776
10,91.0,0.32793816953897476
11,91.0,0.31636732995510103
12,88.2,0.3577055734395981
13,93.2,0.30034275621175766
14,90.0,0.3363629749417305
15,91.2,0.3401615510880947
16,91.2,0.33226753294467926
17,89.4,0.3355666449666023
18,90.4,0.3406070300936699
19,90.60000000000001,0.3128505043685436
20,92.80000000000001,0.27789794266223905
21,91.4,0.3052750903367996
22,88.0,0.3533401429653168
23,91.0,0.3230557671189308
24,87.6,0.3596036720275879
25,89.8,0.33856768906116486
26,93.4,0.30448215037584303
27,91.0,0.3326229055225849
28,90.8,0.33010020196437834
29,90.0,0.34615125983953476
30,88.6,0.3274715095758438
31,88.6,0.33924277186393736
32,91.2,0.32447059869766237
33,91.4,0.33574004799127577
34,91.0,0.32116878405213356
35,90.2,0.3067618095874786
36,89.2,0.32023400872945784
37,89.60000000000001,0.3362228122353554
38,91.60000000000001,0.3385996401309967
39,92.2,0.342889741063118
40,89.8,0.32970213890075684
41,93.2,0.3111078017950058
42,88.8,0.34878489911556243
43,89.0,0.3437714892625809
44,91.0,0.33164337411522865
45,91.60000000000001,0.31702604830265046
46,87.0,0.3420815402269363
47,88.2,0.3440796306729317
48,89.8,0.3456664851307869
49,93.2,0.2963558974862099
50,93.0,0.3127181679010391
