t,eval_success,eval_loss
1,0.3235212513001524,1.2860265880564021
2,0.37083473422777724,1.1960808722658454
3,0.39720397707624544,1.1459513773965495
4,0.4073748080031382,1.1266160904798856
5,0.4470434169602986,1.0512036086588483
6,0.44889570794922096,1.0476822409012758
7,0.4964679847340854,0.957244603163879
8,0.47890515283827084,0.9906324369139347
9,0.5983014938693662,0.7636529972721267
10,0.6728935956277404,0.6218489044588664
11,0.6339605967802837,0.6958628090073637
12,0.6261664647829752,0.710679981988309
13,0.6948479037097983,0.5801124095192629
14,0.7241822586280733,0.5243460199195177
15,0.7441284597845739,0.48642713401709503
16,0.7591752277993019,0.45782231927796274
17,0.7156430356571917,0.540579650941062
18,0.7305372104795249,0.5122648711803145
19,0.7421569272587653,0.49017516818826795
20,0.7329082696066889,0.5077573455766671
21,0.7207783474457055,0.5308170898717107
22,0.7412368899888523,0.4919241907502031
23,0.8199423938214447,0.3423002838881067
24,0.8397013385480833,0.3047373461580232
25,0.8398699517772535,0.3044168137231483
26,0.8631206087299195,0.2602159367275696
27,0.8445513156815887,0.2955172529083641
28,0.8745306597646977,0.23852471833905087
29,0.8600798371180093,0.26599660175116074
30,0.8474163446795415,0.2900706761523745
31,0.8375422310653657,0.3088419343381967
32,0.8357937798937634,0.31216584467405323
33,0.8380883550558786,0.30780375274679567
34,0.8463973391824393,0.29200785525426104
35,0.8379093990661237,0.308143951631744
36,0.861405143844566,0.26347712407065266
37,0.8647697731472855,0.2570807670663221
38,0.8861400244149108,0.2164546414957431
39,0.9090130862902511,0.17297157706355862
40,0.9137941210549676,0.16388255320100203
41,0.913263867206149,0.16489058406300014
42,0.9152167096890531,0.1611781125533064
43,0.907309987749075,0.1762092714678794
44,0.9036515359823891,0.1831642029940401
45,0.905520287324887,0.17961159831679727
46,0.9033548374065573,0.18372825207237284
47,0.8998427300810797,0.1904049806037372
48,0.8993878453526454,0.19126972558259311
49,0.8913749133793801,0.206502794301222
50,0.9054960417955452,0.1796576826946587
