Batch,Overall_Drift
1,0.3169437875939197
2,0.3333333333333333
3,0.3327092900176789
4,0.3333307786136724
5,0.33333333333331083
6,0.3333333333333333
7,0.2815324665134331
8,0.6520888198844625
9,0.6666666666666666
10,0.11594729024447274
11,0.49999999934600875
12,0.47452278598623926
13,0.49962626090887713
14,0.664658666420887
15,0.48921423394656843
16,0.41349593054350686
17,0.4441480618492051
18,0.4871805145086343
19,0.2157335532524649
20,0.38541624952785253
21,0.2271835680266311
22,0.25373147175316024
23,0.33333333329427567
24,0.3251384300407004
25,0.38694518144788237
26,0.32498833261006727
27,0.21931227875595183
28,0.3333333333333333
29,0.1666495751784196
30,0.33331394309158685
31,0.33333333333225923
32,0.16435803603552043
33,0.2770918330616389
34,0.33333333333333287
35,0.16666666666624527
36,0.16664933468797338
37,0.14114904519373733
38,0.15472542842544232
39,0.3285020379220125
40,0.3333333333333333
41,0.16299822894489616
42,0.16214011512356338
43,0.15411394539736387
44,0.16055318495945095
45,0.16490695778987977
46,0.129464922090233
47,0.12465410049276034
48,0.29606225029626043
49,0.3333333333333333
50,0.16666666636565294
51,0.16666646661342793
52,0.0879524381689188
53,0.16666660982956547
54,0.16666666632082527
55,0.1666092205007829
56,0.166666666626516
57,0.16666663876908597
58,0.08276333101135257
59,0.16666658187475702
60,0.1666666652098621
61,0.16666666666666666
62,0.16666666335744199
63,0.33333333332742443
64,0.33333333333316556
65,0.15327389795099053
66,0.2738947505289268
67,0.3333333333333333
68,0.16666665371588765
69,0.1666664543928791
70,0.1575048585797265
71,0.1666655876040102
72,0.16666653662104144
73,0.16665267598282876
74,0.1666661298887597
75,0.16666098490952974
76,0.10307782496887624
77,0.1666341176383124
78,0.3330734490573164
79,0.3333333333333242
80,0.16663120604176143
81,0.33333276124721545
82,0.3333333333333333
83,0.14762237895528996
84,0.16509235285489238
85,0.15902126336008446
86,0.13533056843339566
87,0.3024623894482778
88,0.3333333333333333
89,0.16469819633643415
90,0.31918781318337625
91,0.3333333333333333
92,0.1664917517034488
93,0.3298684705427127
94,0.33333333333331594
95,0.166466170184732
96,0.15472262136944906
97,0.1523785568525022
98,0.1645645784688757
99,0.16623387525830277
100,0.14144558693694456
101,0.1665820891314829
102,0.3144879295771507
103,0.3333333333333333
104,0.16570956674326606
105,0.16613374318895716
106,0.16600688543550532
107,0.14920413168064406
108,0.29772886884670335
109,0.3333333333319907
110,0.16007368211746123
111,0.15100091962949494
112,0.14417434358923256
113,0.16462534881983085
114,0.16293786345307146
115,0.1645065261639667
116,0.16666347381264007
