t,eval_success,eval_loss
1,0.4141454189140311,1.1137447490323016
2,0.4549628987190416,1.0361481561916022
3,0.5062043072951088,0.9387351917927959
4,0.5201517822600071,0.9122201808922953
5,0.5942185392334636,0.7714148559974918
6,0.6373698854486802,0.689381504268207
7,0.6803052703260353,0.6077588333779262
8,0.7607897289792009,0.4547530844611882
9,0.7782453484183746,0.4215688626047132
10,0.7718418867713543,0.43374226407952426
11,0.7875661805519227,0.40384941498452115
12,0.7888056255024296,0.40149314719575163
13,0.8253665721678112,0.3319886155950265
14,0.8462969844257512,0.29219863419153697
15,0.8138353122232094,0.3539102083512064
16,0.8568530269737697,0.2721309593324477
17,0.8666095478969496,0.2535832708456897
18,0.8532251538035952,0.2790277592070425
19,0.8399239514801615,0.30431417297964547
20,0.8386751380870959,0.30668822424587283
21,0.8376601984940641,0.3086176890479812
22,0.8771745185707265,0.23349856897864749
23,0.9045286002062856,0.18149684844531772
24,0.9101281089551368,0.17085183229199505
25,0.9122924159234743,0.16673736810152284
26,0.9128406852873331,0.1656950677707192
27,0.9115380033495555,0.16817154989158178
28,0.911336516255447,0.16855459390711203
29,0.9084139181779713,0.17411061497502534
30,0.9110571961405614,0.1690856100808736
