t,eval_success,eval_loss
1,70.0,0.8566081440448761
2,82.0,0.5110956305265426
3,65.60000000000001,2.246563891172409
4,89.8,0.35157196924090384
5,71.6,1.0598987416923047
6,85.0,0.41365448832511903
7,83.2,0.4910946309566498
8,86.2,0.37269588276743887
9,94.19999999999999,0.23437449976801872
10,83.6,0.4459127542376518
11,91.8,0.21033823661506176
12,94.6,0.1363314677774906
13,90.0,0.250462799873203
14,83.0,1.854860873108264
15,66.8,2.7690476322174074
16,62.4,2.3343638816475867
17,85.8,0.4261798420548439
18,90.0,0.2431792823970318
19,63.2,1.5907422895729542
20,88.8,0.2853951595723629
21,92.4,0.20358496498316525
22,64.0,0.64836271494627
23,93.2,0.18497716063633562
24,90.2,0.2499631004035473
25,88.4,0.3343924197135493
26,75.0,0.7263885364681483
27,61.6,2.265262548327446
28,56.8,2.861502070426941
29,87.4,0.5224772613332607
30,90.4,0.2338949617743492
