t,i,eval_success,eval_loss,drift,delayed
11,2,72.6,0.6489432466030121,,false
11,5,93.2,0.24295052587985994,,false
11,4,93.4,0.25719201281666754,,false
12,9,93.0,0.27567182973027227,,false
12,4,95.2,0.2755339999496937,,false
12,1,68.4,0.76436667740345,,false
12,0,68.6,0.7383823895454407,u,true
12,7,94.0,0.2766100762784481,,false
12,3,71.0,0.7059336298704147,,true
12,5,93.6,0.2721099799126387,,false
12,6,93.8,0.26974901467561724,,true
13,5,85.6,0.6410332295298576,,false
13,9,86.4,0.5858196379244327,,false
13,8,85.4,0.6359588535130024,,false
13,6,85.4,0.5979413984715939,,true
13,4,86.4,0.6814315022528171,,false
13,1,71.6,0.6884549182653427,,false
13,2,68.0,0.7743875062465668,,false
13,7,86.2,0.5849318461120129,,false
14,8,66.0,1.3527081483602523,,false
14,6,67.2,1.5345048296451569,,true
14,0,55.4,1.0944506412744521,,true
14,3,35.2,1.350637320280075,,true
14,9,66.2,1.911636358499527,,false
14,1,51.6,1.344094336628914,u,false
14,5,66.6,1.5900150728225708,,false
14,2,61.4,1.0109375685453414,,false
15,1,50.6,1.1069658851623536,,false
15,2,46.2,1.184252382516861,cd,false
15,0,44.2,1.3017651963233947,,true
15,6,56.2,2.203789409995079,,true
15,9,55.6,2.2715057092905044,,false
15,7,57.2,1.6967449802160264,,false
15,5,56.0,2.370040941238403,,false
15,4,56.0,2.119850932955742,,false
16,7,55.2,2.2510754120349885,,false
16,6,56.0,2.082401864528656,,true
16,4,57.0,1.7772227227687836,,false
16,3,51.2,1.1166786628961562,,true
16,9,55.8,2.153142000436783,,false
16,0,50.6,1.1514274442195893,,true
16,2,42.6,1.2848954784870148,,false
16,1,48.6,1.1739674317836761,,false
17,7,57.8,1.6723200261592865,,false
17,6,59.2,1.3558973217010497,,true
17,2,48.4,1.143703159093857,,false
17,5,57.2,2.043910484313965,,false
17,3,53.4,1.0647462385892867,,true
17,0,53.4,1.072853420972824,cd-u,true
17,4,58.2,1.599328253865242,,false
17,9,58.0,1.9553254783153533,,false
18,2,48.0,1.1051991474628449,,false
18,9,55.6,2.4219353783130644,,false
18,1,52.0,1.0648336827754974,,false
18,7,56.0,2.073272079229355,,false
18,5,54.2,2.382348121404648,,false
18,6,55.6,2.067571438550949,,true
18,8,57.4,2.0137833362817763,,false
18,0,51.0,1.0956471264362335,,true
19,7,56.0,1.9144709539413451,,false
19,3,46.8,1.1518227064609527,,true
19,9,54.4,1.69097874045372,,false
19,0,49.8,1.0894963490962981,,true
19,1,46.8,1.204847264289856,,false
19,6,57.8,2.0013530111312865,,true
19,5,57.2,1.958888111114502,,false
19,4,58.0,1.49738918364048,,false
20,4,56.4,1.73988312959671,,false
20,8,54.4,1.867413831949234,,false
20,0,52.2,1.0439187097549438,,true
20,3,49.0,1.0993806517124176,,true
20,1,48.4,1.123232359290123,,false
20,7,58.8,1.6318094050884246,,false
20,2,52.6,1.0110386860370637,,false
20,9,55.4,2.1963837552070617,,false
21,2,52.2,1.0624232637882232,,false
21,9,55.0,1.7135860931873321,,false
21,3,51.8,1.0781381928920746,,true
21,6,57.0,1.8349714827537538,,true
21,4,60.0,1.822520124912262,,false
21,7,56.4,2.454734671115875,,false
21,8,56.4,2.348476891517639,,false
21,1,46.8,1.2147515070438386,,false
22,5,56.8,2.34975752055645,,false
22,0,52.0,1.057736349403858,,true
22,1,49.4,1.2056726914644242,,false
22,6,59.4,1.4903496664762497,,true
22,9,55.4,1.99568835914135,,false
22,8,56.6,1.722623656988144,,false
22,7,55.6,2.30523506462574,,false
22,2,45.6,1.1818370926380157,,false
23,2,52.2,1.0960469442605971,,false
23,4,56.8,2.22233235090971,,false
23,0,48.0,1.0389143550395965,,true
23,3,51.2,1.0884680151939392,,true
23,7,57.6,1.6162843477725983,,false
23,6,56.2,1.9824557703733445,,true
23,1,50.2,1.0841824978590011,,false
23,5,57.4,1.839337282180786,,false
24,2,49.4,1.1405531919002534,,false
24,1,49.0,1.1153003549575806,,false
24,5,58.4,2.49392893910408,,false
24,8,54.8,2.0390578746795653,,false
24,0,42.6,1.2627821481227874,,true
24,3,49.4,1.1095299696922303,,true
24,9,55.6,2.3024207377433776,,false
24,7,56.8,2.0222161293029783,,false
25,4,55.8,1.6709656864404678,,false
25,1,50.4,1.099706257581711,,false
25,7,57.8,1.5635530185699462,,false
25,6,60.6,1.2667719984054566,,true
25,5,56.0,2.054529678225517,,false
25,3,45.6,1.26692036986351,u,true
25,9,59.6,1.793034656047821,,false
25,0,50.0,1.133252739906311,,true
26,9,57.6,2.320312670469284,,false
26,5,58.2,1.8128915667533874,,false
26,4,56.2,1.7308785510063172,,false
26,1,54.2,1.0560379034280778,,false
26,0,53.4,1.0707189881801604,,true
26,6,56.0,2.226293946504593,,true
26,2,53.4,1.0463605844974517,,false
26,3,54.6,1.0710708075761795,,true
27,1,53.6,1.0305605769157409,,false
27,0,54.2,1.070884059071541,,true
27,4,54.6,1.9985907912254333,,false
27,8,56.6,1.3835143864154815,,false
27,9,56.2,1.9149039554595948,,false
27,7,54.8,1.8741677856445313,,false
27,5,56.6,1.9441248679161072,,false
27,3,52.8,1.107442580461502,,true
28,7,56.6,2.0263797456026076,,false
28,3,50.6,1.1567565250396727,,true
28,2,49.6,1.1472024077177048,,false
28,0,47.8,1.182381905913353,,true
28,5,55.2,1.8605832999944687,,false
28,6,56.8,2.2452708637714385,,true
28,9,56.2,2.3855733489990234,,false
28,8,55.8,2.211781435608864,,false
29,7,57.0,1.881940787434578,,false
29,5,58.2,1.469766411781311,,false
29,4,55.6,2.527762444019318,,false
29,3,51.0,1.0907943654060364,,true
29,1,50.6,1.1419068348407746,,false
29,9,58.0,1.7237945330142974,,false
29,8,57.0,2.2218609762191774,,false
29,6,56.0,1.7223124927282334,,true
30,2,48.2,1.108669366836548,,false
30,3,47.2,1.1871065664291383,,true
30,8,59.0,1.3270616513490676,,false
30,0,50.8,1.0738162672519684,,true
30,9,55.2,1.6365416824817658,,false
30,1,47.4,1.137856023311615,,false
30,5,55.6,1.6371882247924805,,false
30,6,56.0,1.720732043981552,,true
31,1,49.4,1.1531884360313416,,false
31,0,50.0,0.9895734345912933,,true
31,2,50.0,1.1308828896284104,,false
31,3,50.2,1.1460496938228608,,true
31,4,54.2,1.756327773332596,,false
31,5,57.6,1.4584401655197143,,false
31,7,55.0,2.447314624786377,,false
31,8,53.0,2.366971204280853,,false
32,5,56.8,1.5879100209474564,,false
32,6,57.4,1.5029946276545525,,true
32,2,53.4,1.0977470880746842,,false
32,0,51.2,1.122099608182907,,true
32,1,50.6,1.1230104595422745,,false
32,9,57.0,1.5288206714391708,,false
32,8,56.8,1.8099891048669816,,false
32,4,56.6,2.3719860953092575,,false
33,6,58.2,1.7314264500141143,,true
33,2,43.8,1.4196398282051086,cd-cs-u,false
33,8,57.4,2.082692927122116,,false
33,5,56.8,1.8543380212783813,,false
33,4,57.4,2.27259130358696,,false
33,0,49.4,1.1185287243127824,,true
33,9,58.2,2.325810418128967,,false
33,7,59.0,2.287369740009308,,false
34,8,56.4,2.5478504061698914,,false
34,1,51.2,1.0957287847995758,,false
34,0,51.2,1.0959447687864303,cd,true
34,3,52.6,1.0397709169983864,cs,true
34,4,57.0,2.5073174977302553,,false
34,9,56.0,1.9467801058292389,,false
34,7,57.0,1.2832972741127013,,false
34,6,56.8,1.9939795410633088,,true
35,2,49.8,1.1642158937454223,,false
35,7,57.0,2.254617129564285,,false
35,4,55.4,1.9788253259658815,,false
35,3,46.8,1.1888030409812926,,true
35,9,54.8,2.3760569107532503,,false
35,5,54.8,1.9944133055210114,,false
35,8,57.4,2.6110320341587068,,false
35,1,51.4,1.111201181411743,,false
36,5,55.2,2.2546166336536406,,false
36,0,50.2,1.0950776791572572,,true
36,7,55.2,1.9994706010818482,,false
36,6,57.2,2.270533915758133,,true
36,4,55.8,2.0524617576599122,,false
36,8,56.0,2.1874001741409304,,false
36,2,50.8,1.119523047208786,,false
36,3,49.8,1.2233715486526489,cd-cs,true
37,7,54.8,1.975534331202507,,false
37,8,54.6,1.909059362411499,,false
37,2,56.4,1.031211519241333,,false
37,6,55.6,2.041120228767395,,true
37,3,55.0,1.0005374783277512,,true
37,0,49.2,1.126135150194168,cd-cs,true
37,4,54.4,1.8800273525714875,,false
37,5,56.2,2.028735089302063,,false
38,0,49.2,1.142281608581543,,true
38,6,54.8,1.7320906376838685,,true
38,7,55.2,2.331056709289551,,false
38,9,56.8,2.604267556667328,,false
38,8,58.2,2.017075456380844,,false
38,3,48.0,1.224938658475876,,true
38,4,57.2,2.5891642105579376,,false
38,2,45.4,1.2125189125537872,,false
39,8,54.4,1.7720652318000794,,false
39,4,54.8,2.3499594676494597,,false
